week,region,store_id,product_category,promotion_flag,forecast_units,actual_units,stockout_hours,unit_price_dkk,ending_inventory
1,Sjælland,Store_01,Dairy,1,186,208,20,13.0,0
1,Sjælland,Store_01,Meat,1,196,263,5,14.29,0
1,Sjælland,Store_01,Produce,1,132,112,0,15.5,20
1,Sjælland,Store_01,Bakery,0,101,87,0,10.21,14
1,Sjælland,Store_01,Frozen,0,170,126,0,18.76,44
1,Sjælland,Store_01,Dry Goods,0,141,152,0,12.72,0
1,Jylland,Store_02,Dairy,0,195,168,0,28.23,27
1,Jylland,Store_02,Meat,0,118,121,0,10.4,0
1,Jylland,Store_02,Produce,1,93,79,0,12.93,14
1,Jylland,Store_02,Bakery,1,190,235,8,28.3,0
1,Jylland,Store_02,Frozen,1,114,107,0,29.88,7
1,Jylland,Store_02,Dry Goods,0,85,93,0,16.24,0
1,Jylland,Store_03,Dairy,0,97,102,0,37.66,0
1,Jylland,Store_03,Meat,0,166,202,0,25.63,0
1,Jylland,Store_03,Produce,1,164,103,0,34.86,61
1,Jylland,Store_03,Bakery,0,139,113,0,26.28,26
1,Jylland,Store_03,Frozen,0,94,49,0,18.8,45
1,Jylland,Store_03,Dry Goods,0,194,127,0,31.21,67
1,Jylland,Store_04,Dairy,1,84,88,8,35.5,0
1,Jylland,Store_04,Meat,1,112,128,17,21.12,0
1,Jylland,Store_04,Produce,1,116,139,4,24.17,0
1,Jylland,Store_04,Bakery,0,157,210,0,35.47,0
1,Jylland,Store_04,Frozen,1,198,196,0,25.68,2
1,Jylland,Store_04,Dry Goods,1,121,168,14,16.05,0
1,Jylland,Store_05,Dairy,1,175,140,0,28.13,35
1,Jylland,Store_05,Meat,1,108,119,5,38.29,0
1,Jylland,Store_05,Produce,1,194,218,7,23.7,0
1,Jylland,Store_05,Bakery,0,163,210,0,36.78,0
1,Jylland,Store_05,Frozen,1,198,182,0,13.3,16
1,Jylland,Store_05,Dry Goods,0,141,164,0,10.02,0
1,Sjælland,Store_06,Dairy,0,149,50,0,16.66,99
1,Sjælland,Store_06,Meat,0,123,133,0,17.32,0
1,Sjælland,Store_06,Produce,0,111,163,0,20.91,0
1,Sjælland,Store_06,Bakery,1,131,136,13,17.55,0
1,Sjælland,Store_06,Frozen,1,192,170,0,20.35,22
1,Sjælland,Store_06,Dry Goods,1,81,79,0,25.93,2
1,Sjælland,Store_07,Dairy,1,198,254,18,31.85,0
1,Sjælland,Store_07,Meat,0,195,231,0,39.5,0
1,Sjælland,Store_07,Produce,0,191,169,0,25.25,22
1,Sjælland,Store_07,Bakery,1,82,89,21,19.78,0
1,Sjælland,Store_07,Frozen,0,169,103,0,29.36,66
1,Sjælland,Store_07,Dry Goods,0,112,113,0,21.93,0
1,Sjælland,Store_08,Dairy,1,90,72,0,37.74,18
1,Sjælland,Store_08,Meat,1,178,163,0,16.86,15
1,Sjælland,Store_08,Produce,0,191,256,0,17.26,0
1,Sjælland,Store_08,Bakery,0,91,148,0,26.75,0
1,Sjælland,Store_08,Frozen,1,198,136,0,31.78,62
1,Sjælland,Store_08,Dry Goods,1,103,68,0,22.14,35
1,Jylland,Store_09,Dairy,1,192,206,19,14.82,0
1,Jylland,Store_09,Meat,1,133,109,0,23.45,24
1,Jylland,Store_09,Produce,1,179,135,0,19.76,44
1,Jylland,Store_09,Bakery,1,87,104,8,31.63,0
1,Jylland,Store_09,Frozen,0,127,119,0,17.96,8
1,Jylland,Store_09,Dry Goods,0,117,94,0,39.37,23
1,Sjælland,Store_10,Dairy,1,106,106,0,27.31,0
1,Sjælland,Store_10,Meat,1,148,201,17,18.42,0
1,Sjælland,Store_10,Produce,0,128,70,0,36.5,58
1,Sjælland,Store_10,Bakery,1,116,108,0,37.85,8
1,Sjælland,Store_10,Frozen,1,132,143,21,18.83,0
1,Sjælland,Store_10,Dry Goods,0,166,168,0,18.05,0
1,Sjælland,Store_11,Dairy,0,185,193,0,27.1,0
1,Sjælland,Store_11,Meat,0,111,121,0,30.13,0
1,Sjælland,Store_11,Produce,0,106,78,0,35.46,28
1,Sjælland,Store_11,Bakery,0,197,138,0,20.78,59
1,Sjælland,Store_11,Frozen,0,198,121,0,28.35,77
1,Sjælland,Store_11,Dry Goods,0,86,75,0,25.05,11
1,Jylland,Store_12,Dairy,1,189,199,16,21.27,0
1,Jylland,Store_12,Meat,0,166,173,0,30.16,0
1,Jylland,Store_12,Produce,0,137,75,0,27.72,62
1,Jylland,Store_12,Bakery,0,131,142,0,11.17,0
1,Jylland,Store_12,Frozen,0,186,188,0,33.1,0
1,Jylland,Store_12,Dry Goods,0,84,61,0,23.72,23
1,Jylland,Store_13,Dairy,0,173,265,0,31.78,0
1,Jylland,Store_13,Meat,1,185,214,20,33.86,0
1,Jylland,Store_13,Produce,0,171,134,0,15.53,37
1,Jylland,Store_13,Bakery,0,88,106,0,30.65,0
1,Jylland,Store_13,Frozen,0,80,49,0,12.82,31
1,Jylland,Store_13,Dry Goods,0,188,171,0,18.4,17
1,Jylland,Store_14,Dairy,1,142,200,4,17.43,0
1,Jylland,Store_14,Meat,0,180,159,0,13.6,21
1,Jylland,Store_14,Produce,0,171,189,0,24.23,0
1,Jylland,Store_14,Bakery,0,127,151,0,34.21,0
1,Jylland,Store_14,Frozen,0,173,154,0,38.47,19
1,Jylland,Store_14,Dry Goods,1,131,135,11,28.78,0
1,Sjælland,Store_15,Dairy,1,148,183,17,29.27,0
1,Sjælland,Store_15,Meat,0,111,153,0,38.21,0
1,Sjælland,Store_15,Produce,1,129,95,0,34.34,34
1,Sjælland,Store_15,Bakery,1,91,95,4,34.61,0
1,Sjælland,Store_15,Frozen,1,122,130,18,29.67,0
1,Sjælland,Store_15,Dry Goods,0,153,129,0,10.7,24
1,Jylland,Store_16,Dairy,0,147,108,0,38.1,39
1,Jylland,Store_16,Meat,0,168,223,0,34.1,0
1,Jylland,Store_16,Produce,0,89,126,0,27.28,0
1,Jylland,Store_16,Bakery,1,115,61,0,21.16,54
1,Jylland,Store_16,Frozen,1,103,107,13,22.87,0
1,Jylland,Store_16,Dry Goods,1,168,212,4,13.09,0
1,Jylland,Store_17,Dairy,1,191,117,0,13.0,74
1,Jylland,Store_17,Meat,0,140,110,0,37.16,30
1,Jylland,Store_17,Produce,0,150,153,0,24.48,0
1,Jylland,Store_17,Bakery,1,95,101,22,12.75,0
1,Jylland,Store_17,Frozen,1,131,168,17,33.69,0
1,Jylland,Store_17,Dry Goods,0,121,144,0,39.23,0
1,Jylland,Store_18,Dairy,0,114,105,0,13.51,9
1,Jylland,Store_18,Meat,0,153,183,0,35.11,0
1,Jylland,Store_18,Produce,1,181,192,11,21.9,0
1,Jylland,Store_18,Bakery,1,145,126,0,12.44,19
1,Jylland,Store_18,Frozen,0,162,204,0,36.41,0
1,Jylland,Store_18,Dry Goods,0,150,158,0,39.58,0
1,Jylland,Store_19,Dairy,0,110,45,0,31.15,65
1,Jylland,Store_19,Meat,0,98,89,0,13.34,9
1,Jylland,Store_19,Produce,1,92,125,21,13.56,0
1,Jylland,Store_19,Bakery,0,184,95,0,32.33,89
1,Jylland,Store_19,Frozen,1,171,166,0,18.57,5
1,Jylland,Store_19,Dry Goods,1,117,128,22,38.9,0
1,Sjælland,Store_20,Dairy,1,140,130,0,37.74,10
1,Sjælland,Store_20,Meat,1,115,112,0,26.62,3
